email_body,ground_truth,greedy,top-k,top-p
"The EnronOnline Audit is scheduled to begin the week of June 4, 2001 and is expected to take approximately two months to complete.
The audit will be executed by Arthur Andersen and led by Jennifer Stevenson and Russ Bouwhuis.
We will schedule an opening meeting with you the week of  June 4, 2001 to discuss audit scope and any concerns or suggestions you may have.
The objective of the audit will be to determine whether procedures and controls exercised over activities are adequate and operating effectively.
Results of the audit will be discussed with you and other appropriate personnel both during the audit and at the audit closing meeting.
We will endeavor to conduct this audit in a manner that will minimize interruption of your normal business activities and we look forward to working with you and your personnel.
Please call me at x5-4554 if have any questions.
Mechelle Atwood Director, Enron Assurance Services Enron Wholesale Services
",Enron OnLine Audit Notification,"EnronOnline Audit - June 4, 2001",Audit Reminder,EnronOnline Audit
"Andy,  Just finished meeting with Nelson from gas fundies and Martin Lim from power fundies to discuss getting the Exotica libraries migrated ASAP.
The best I can get from them is ""hopefully tomorrow"" as far as a date for migration.
They are dealing with the validation of calculation routines between the UBS libraries and the Exotica libraries since Exotica will play a role in pnl calculation.
I will follow up on this again tomorrow.
I told them that ""hopefully tomorrow"" was not the answer I was looking for so I would help out in any way.
They recognize that we need these libraries loaded on our machines regardless of their validation.
Also, Nelson showed me a list of the products that are scheduled for 'day 1' and power options are not on that list.
There are a lot of people working with that list to prioritize support so this is just a heads up for you.
Later.
Rob
",Exotica add-in,Exotica Libraries,Exotica Libraries,"""Pnl Migration"
"According to the International Coal desk, the three brokers that have expressed interest are:  -	TFS -	GFI -	NatSource  Apparently the desk is not as enthusiastic about NatSource from their perspective, though they would be happy to see the other two getting access.
Let me know if I can further assist.
Thanks,
",Int'l Coal & Broker Client,NatSource,NatSource Influence,NatSource's Open Access
"Offline Contact Status - 6/6/01   1.
Commerce One C1 is working on a valuation analysis, including customer discussions.
A meeting in Austin with Mark Hoffman and Matt Graves is being arranged for Thursday or Friday, 6/21 or 6/22.
C1's current position is that the value of an Enron company owning the Offline IPR is $50 - $100 million.
2.
Reuters Philippe and Andy are following up with Phil Lynch and others to define a go-forward plan.
3.
Sungard Executive meeting being scheduled.
Also exploring interest in mid/back office systems and DealBench.
4.
SAP Conference call with Brian Bartoldson of SAP Consulting scheduled for this Thursday, 6/7, at 2pm.
Brian will provide additional ""expert"" input to Gary Fromer, who is still trying to sort through the size of the Offline market opportunity.
5.
Sun/iPlanet Meeting with John Fowler of Sun M&A scheduled in Houston on Tuesday, 6/12 .
Offline will be discussed from 9am - 12:30pm, DealBench from 12:30pm - 3pm.
6.
Microsoft Working with Peter Houston, Group Program Manager for Active Directory, to see if he can help us get a meeting in Redmond with the right Microsoft audience.
Have been referred to James Utzschneider, one of the Microsoft application product executives.
Philippe is working with Microsoft contacts also from the technology side.
7.
BEA Initial interest confirmed via conference call last week.
Trying to schedule initial meeting for presentation and demo.
8.
Siebel Working with Beth Perlman and Joe Wong to establish contact.
9.
HP Working with local HP representative, Michael Morrison, to establish contact.
10.
TIBCO/Accenture On hold.
11.	i2 On hold.
",Latest Offline Contact Status,BEA Meeting with Microsoft,WSJ/Enron Off-site,"SPG/Online Pricing Meeting - Wednesday, November"
"Savita  In our testing we have found the inability to manage our wing-strikes risk.
The way it works for power markets is that most traders would be unwillling to trade more than 250MW of a wing strike without widening out the bid offer.
Similarly the risk at some point can get high enough to suspend wing strikes.
In the current option manager, the only possibility is to increase or decrease the ATM suite vol (which has little effect on the wing strikes anyway).
For that reason we need a volumetric control for each strike.
The volumeteric control could be a toggle which could be turned on or off.
If the volumetric control toggle si on, corresponding to each strike, there would be  a maximum volume.
If  the strike is hit or lifted by that volume, that strike is automatically suspended and the trader notified.
This allows the individual strike risk to be limited.
This also allows us to put some less liquid markets out there - where the price discovery is evolving.
In those products we can put the volume to be limited at 100 MW for each strike making the risk more manageable.
Pls give me a call, so that we can discuss this further.
Harry Arora
",Option Manager - extra features,Wing-strikes risk,Wing-strikes risk,Wing-strikes Risk Management
"Andy,  Mark Tawney told me that you are setting up a cross-commodity desk.
I think it very interesting.
Could you give me more details?
Depending on exactly you have in mind, we may be able to help you using weather products.
Thanks,
",Cross-commodity desk,Cross-commodity desk,Cross-commodity desks,Cross-Commodity Desk
"Greg Whalley has requested a Trader's Meeting tomorrow morning @ 7:45 a.m. (CST).
The meeting will be held in his office, ECS 06752.
The dial-in number for Portland and Calgary is listed below.
",Trader Meeting - 2/7 @ 7:45 a.m. (CST) - ECS 06752,Trader Meeting - 2/7 @ 7:45,Trader Meeting - 2/7 @ 7:45,Trader Meeting - 2/7 @ 7:45
"I attach an updated list (to Feb 5) of the terminated contracts to date.
F= or informational purposes, I have added a column that sets out the settleme= nt dates for contracts we have settled, so there may be some additional cou= nterparties added to my previous list where there was no ECC agreed termina= tion date but we have settled and terminated (no one needs to do anything f= or these c/ps).
Again, the first table sets forth the physical contracts t= hat have been terminated and the second sets out the financial contracts, a= nd all data reflects ECC's (not the counterparties') perception of the worl= d.  I have vetted my list against Blakes' master list and believe this is a= ccurate in all respects.
As I indicated in my previous e-mails to you ther= e were a few date discrepancies and I have previously provided you with the=  corrected dates for El Paso, Marathon, AEC Marketing, Calpine (Encal), Wil= liams Energy and Baytex (all physical), all which are now correctly reflect= ed in the attachment.
A few others that were not previously on the list in= clude Coast Energy (physical) which auto terminated on Dec 2 and PrimeWest = Energy (physical) which auto terminated on Dec 2.
=20  Thanks
",Terminated Counterparty Contracts,Terminated Contracts,TW Contract Terminations,"El Paso, Marathon, AEC Marketing, Cal"
"Further to prior e-mails, I have now confirmed with Blakes that the following c/ps originally had the wrong termination dates set.
They have now been corrected to the appropriate dates, all of which were Feb 1, 2002 (John, these are the same ones I identified to you last week).
AEC Marketing, physical, gas  - February 1, 2002 Calpine Canada Natural Gas Partnership (Encal) physical, gas - February 1, 2002 El Paso Merchant Energy, physical gas - February 1, 2002 Williams Energy Marketing & Trade Co. - February 1, 2002  Greg
",Termination Dates,C/ps,c/ps,Calpine Co.
"I have updated the list to reflect all changes received.
If you notice any more errors or if any counterparties have been reassigned, please let me know so that I can continue to make changes.
Also, please see Louise's additions at the bottom of the list (from Adams Resources Marketing downward) and let me know if you have good relationships with any of these counterparties and could please take responsibility for them.
Otherwise, our marketing team will be contacting these customers.
Finally, please note that even though there may be names for a specific counterparty in both the gas and the power columns, the person ultimately responsible for contacting that customer regarding the password application and registration forms is the person in the PA column on the far right.
Please remember when you are speaking to your customers to get all contact info possibly including contact name, phone and fax, e-mail, and address and send all this to Mary Griff Gray so that she can send them the PA and registration forms.
Please call me at 5-3614 if you have any questions or come by my desk at 06541.
Jennifer McQuade
",Updated List,PA and Registration Changes,Password Application Changes,List of Legal Approval Forms for 6/20
"The name for the Canadian entity which will enter into both Master Agreements and individual commodity transactions is: ""UBS Warburg Energy (Canada) Ltd."", as confirmed by Lou Eber: UBS Chief Legal Counsel.
I am working on chasing down the parental guarantee issue.
Dave
",Canadian legal entity,Canadian Guaranty,Transfer of Canadian Influence,Canadian Agreements
"John,  Attached is a spreadsheet that outlines the transactions with the Power Pool today, specifically the $6.95 M that will be withheld as a security deposit for Enron Canada Power Corp.
If you have any questions or concerns, please give me a call.
<<Enron Security Jan 29 2002.xls>>
",Power Pool,Power Pool,Power Pool,Power Pool Terminations Today
